epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,5172.2,1.22975,0.59272,1.07829,0.99937,1,0.995,0.6872,1.09974,0.52484,1.0338,0.0004952,0.0004952,0.0004952
78,5190.96,1.25323,0.61109,1.09002,0.99672,0.99713,0.99489,0.68004,1.10061,0.51367,1.02913,0.0004754,0.0004754,0.0004754
79,5209.6,1.2088,0.57064,1.08238,0.99953,1,0.995,0.68553,1.1012,0.51487,1.0275,0.0004556,0.0004556,0.0004556
80,5228.72,1.22053,0.60604,1.0872,0.99955,1,0.995,0.6892,1.08092,0.5052,1.01553,0.0004358,0.0004358,0.0004358
81,5247.22,1.22803,0.57382,1.08202,0.9996,1,0.995,0.68688,1.07571,0.50389,1.01526,0.000416,0.000416,0.000416
82,5265.61,1.17591,0.56849,1.06147,0.99954,1,0.995,0.69494,1.08855,0.50641,1.02475,0.0003962,0.0003962,0.0003962
83,5283.67,1.22873,0.57314,1.08222,0.99954,1,0.995,0.68859,1.11427,0.50579,1.03187,0.0003764,0.0003764,0.0003764
84,5302.3,1.20297,0.5748,1.08953,0.99962,1,0.995,0.68357,1.11807,0.50304,1.02958,0.0003566,0.0003566,0.0003566
85,5320.22,1.25067,0.58031,1.08553,0.99959,1,0.995,0.6906,1.10236,0.49875,1.02078,0.0003368,0.0003368,0.0003368
86,5338.39,1.22517,0.57609,1.08499,0.99975,1,0.995,0.67801,1.13161,0.51575,1.02322,0.000317,0.000317,0.000317
87,5356.94,1.20044,0.56569,1.06403,0.99971,1,0.995,0.6865,1.09404,0.50616,1.01375,0.0002972,0.0002972,0.0002972
88,5376.34,1.17155,0.55511,1.05743,0.99969,1,0.995,0.69388,1.07291,0.50239,1.00832,0.0002774,0.0002774,0.0002774
89,5396.96,1.17103,0.55127,1.06361,0.99968,1,0.995,0.69287,1.08675,0.5009,1.01153,0.0002576,0.0002576,0.0002576
90,5417.09,1.17423,0.54324,1.06776,0.99961,1,0.995,0.68448,1.11032,0.49749,1.01595,0.0002378,0.0002378,0.0002378
91,5436.91,1.13297,0.56447,1.06475,0.99946,1,0.995,0.69112,1.08078,0.48734,1.00608,0.000218,0.000218,0.000218
92,5456.63,1.1252,0.53953,1.05397,0.99948,1,0.995,0.70381,1.0414,0.47683,0.9957,0.0001982,0.0001982,0.0001982
93,5475.67,1.11512,0.53531,1.05816,0.99966,1,0.995,0.7104,1.01793,0.47349,0.99045,0.0001784,0.0001784,0.0001784
94,5496.16,1.11261,0.53119,1.0449,0.99968,1,0.995,0.71508,1.00776,0.47086,0.98731,0.0001586,0.0001586,0.0001586
95,5515.78,1.08793,0.51331,1.03409,0.99969,1,0.995,0.71029,1.01715,0.46997,0.98859,0.0001388,0.0001388,0.0001388
96,5533.47,1.14588,0.52263,1.06945,0.99968,1,0.995,0.71217,1.02925,0.47007,0.98985,0.000119,0.000119,0.000119
97,5551.06,1.11473,0.52767,1.05604,0.99974,1,0.995,0.70626,1.03058,0.47104,0.98878,9.92e-05,9.92e-05,9.92e-05
98,5569.55,1.12465,0.51829,1.0352,0.99971,1,0.995,0.71413,1.01465,0.46905,0.98618,7.94e-05,7.94e-05,7.94e-05
99,5588.49,1.08422,0.51077,1.05821,0.9996,1,0.995,0.71898,1.00616,0.4657,0.98615,5.96e-05,5.96e-05,5.96e-05
100,5608.08,1.0739,0.50305,1.02367,0.99955,1,0.995,0.71769,0.99926,0.4641,0.98628,3.98e-05,3.98e-05,3.98e-05
